YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
1931;56896.8;86488.31;88646.94;64581.71;43078.74;32150.18;25738.04;20606.05;22772.16;23767.55;25831.89;38566.5
1932;56451.95;61922.34;50742.1;35954.27;27000.91;25285.24;19913.2;16801.72;15034.4;22347.14;25004.76;48755.6
1933;65408.16;51128.33;40424.25;34627.46;24456.72;19099.7;16790.67;14192.07;13741.74;17339.43;18503.66;36070.84
1934;46580.39;37113.35;35392.72;27179.93;19080.88;14173.57;11860.9;9904.96;11835.56;12925.78;13594.84;33700.23
1935;54645.97;72711.15;61323.17;54644.39;34731.77;26184.86;19927.38;19833.32;18289.43;34902.46;26176.69;32033.65
1936;36916.81;29950.27;53709.93;37115.42;24512.01;17752.6;14706.5;13891.48;17056.12;14124.93;18411.58;34416.72
1937;63301.09;43981.97;39542.99;35188.12;27671.57;23148.61;16354.45;13870.17;12040.76;21610.55;35511.48;53788.68
1938;53645.87;45561.95;40185.12;30857.44;25654.34;20780.68;18619.35;16287.23;14448.98;18611.16;22441.18;40579.16
1939;57959.52;57663.45;34083.82;28957.8;24788.09;20168.94;16549.77;13383.61;12275.62;13874.47;24967.68;37058.66
1940;54200.71;75154.55;68610.98;38145.67;29380.5;21178.59;16631.69;13732.02;12255.37;14368.61;29859.02;34210.67
1941;48448.49;38353.62;35718.51;33851.76;18923.09;16560.55;15759.09;15122.03;17561.96;21513.16;27124.93;40816.63
1942;45010.7;51036.28;62628.01;45004.41;30031.07;29365.82;23062.33;16335.75;16624.51;18401.39;25773.5;41600.78
1943;81105.82;73890.02;69692;41888.5;26936.13;23855.04;18597.07;15380.33;14661.5;23147.1;31708.34;39227.88
1944;35019.44;47726.22;51495.85;32537.77;22540.12;17234.34;14480.2;12027.54;10510.08;11673.81;21600.95;27408.38
1945;41229.43;71175.26;62809.69;61618.73;34858.01;26267.7;24962.54;16431.03;14125.62;17407.93;29777.43;59081.29
