YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
1931;14125.25;13168.57;18892.59;20907.16;14299.76;7186.5;5559.36;4824.29;4242.98;4030.32;5863.03;6256.49
1932;11137.33;13524.3;9711.88;6163.4;4278.01;3856.12;3505.1;2977.42;2715.01;2784.09;5519.61;10225.14
1933;14894.38;16900.66;10348.39;8674.78;5985.75;4070.03;3778.06;3280.58;2746.51;3251.36;5568.33;9968.78
1934;17872.77;14160.46;8393.24;5256.22;5434.2;3639.9;3056.73;2769.4;3028.44;3035.99;3004.45;5006.69
1935;12961.77;16846.85;17225.48;13641.79;12534.47;6137.82;4750.92;3756.76;3164.24;3173.36;3744.12;6990.38
1936;8523.07;8119.92;12079.7;8956.44;6601.81;4022.12;3332.63;2855.07;2579.08;2905.28;4501.9;7883.92
1937;13395.37;16599.45;13607.31;9788.14;7269.49;4463.72;3735.09;3133.63;2719.55;2683.63;6520.07;13725.98
1938;17993.41;13539.99;11837.59;7454.47;5172.17;4258.5;3478.98;3053.68;2861.11;2701.98;4012.34;8782.96
1939;15030.43;17196.18;15825.48;6540.44;4810.39;3853.22;3315.28;3117.6;2897.99;3750.94;3212.78;5102.14
1940;9527.25;14465.81;20019.52;14581.88;6266.04;4448.53;3554.91;3187.34;2635.62;2809.41;5819.06;12219.55
1941;14352.85;14219.37;14671.43;14622.26;9244.21;5093.69;4257.73;3852.29;3076.89;3261.16;4918.94;7133.7
1942;13932.39;14144.77;15271.09;10896.27;7077.85;4674.39;3917.13;3415.31;3062.19;3952.17;6668.63;16553.03
1943;18874.34;26692.87;25196.88;16194.83;8975.18;6332.34;5321.92;4525.84;3900.65;4022.67;6525.95;16255.56
1944;18788.32;15242.93;14970.56;11700.7;7807.51;5232.47;4406.87;3858.99;3332.13;2953.09;5059.36;12042.24
1945;18242.14;20706.68;23718.32;22854;26010.03;13126.14;7897.38;6367.19;5179.72;5656.38;9584.5;17087.28
1946;20747.54;30724.15;13966.86;16285.17;11180.11;7437.61;6014.22;5211.33;4449.05;4591.93;6339.71;11613.97
1947;11025.3;14769.21;18108;23037.78;14050.63;7134.21;5756.65;4854.33;4668.06;4383.56;9586.15;13900.61
1948;18356.93;13844.6;16639.52;12656.67;6802.52;5572.06;4899.18;4144.19;3620.54;3778.97;4339.8;15970.6
1949;22517.23;27899.16;37416.18;23015.1;10792.26;7921.04;6493.34;5479.03;4696.48;4362.42;8738.34;9697.68
1950;13704.31;13483.77;10772.55;11710.85;8237.76;5250.03;4534.69;3946.36;3255.88;3726.37;6127.19;12177.77
1951;12840.93;12112.76;13977.74;14452.49;8121.21;5595.19;4467.55;3811.89;3297.43;3021.81;2849.24;4479.88
1952;9696.21;13423.51;17576.12;20656.51;10677.56;5959.66;4829.82;3973.15;3529.72;3473.24;4827.53;11082.14
1953;11746.48;5439.56;7863.3;11262.13;6190.88;3983.24;3358.52;2934.7;2596.76;3192.62;4513.54;9563.26
1954;13976.56;8209.26;9172.11;7819.65;4441.4;3732.44;2962.96;2645.4;2183.56;1961.51;2941.21;10451.75
1955;7957.88;12214.02;6848.06;7841.24;4732.86;3204.75;2749.41;2398.16;2061.05;1936.32;5983.21;10081.6
1956;15767.78;7715.27;13128.2;8735.76;5163.96;4933.04;4134.87;3224.14;2738.3;2489.8;4325.68;11649.13
1957;18055.11;21173.92;23075.09;24664.21;18876.18;8862.73;6314.96;5066.13;4197.26;4563.05;4208.66;12343.92
1958;11829.15;15375.77;11154.34;9586.62;7546.74;5156.53;4327.64;4326.79;3364.12;4432.06;5842.71;5038.37
1959;10992.18;11386.96;10193.16;8777.09;4211.97;3418.01;3087.86;2744.92;2490.01;2785.5;4833.37;7875.39
1960;10542.52;17527.71;27209.32;21549.12;7995.22;5568.97;4335.62;3656.36;3075.44;2748.06;3245.77;11855.63
1961;16792.82;22630.29;19210.99;11103.77;7008.97;5310.42;4297.52;3607;3030.66;2631.61;3174.55;4538.32
1962;10409.15;15919.25;13250.44;10155.95;6066.53;4459.51;3774.59;3116.68;2501.17;3281.46;5614.32;8825.42
1963;16252.85;19438.28;11265.62;5226.49;4381.04;3350.92;2942.73;2681.35;2374.8;2122.57;2729.49;4174.36
1964;12511.3;24177.46;17504.06;8959.51;5326.07;3674.86;3142.18;2895.38;2299.04;2609.32;7933.09;12581.63
1965;15316.82;14803.55;15911.49;18009.44;9081.09;5572.53;4499.19;3852.57;3205.28;4011.19;7768.94;12027.99
1966;12412.16;17865.17;19442.08;14468.29;7997.79;5758.04;4625.8;4078.28;3516.09;3541.54;5395.73;7563.53
1967;14674.8;13618.77;12862.74;13044.23;8219.65;4613.34;3895.94;3373.9;2903.91;2700.06;4616.41;12335.86
1968;16367.04;14646.72;20515.12;16157.84;7399.67;5037.79;4355.52;3947.14;3723.44;3758.43;5854.28;13610.76
1969;10164.23;12920.5;13701.14;8099.24;5165.49;3904.56;3431.25;3024.92;2567.93;2657.26;6742.1;15583.87
1970;19264.71;19019.59;15047.35;7905.27;6042.38;4404.93;3916.6;3394.71;3147.29;4667.84;9338.47;8853.22
1971;5270.05;4499.9;5320.4;5177.73;3787.57;2770.17;2639.92;2283;2276.15;3239.04;7507.03;18137.54
1972;15730.58;8458.2;9983.59;8876;5911.37;3858.8;3379.99;3175.88;2645.12;3881.6;5717.24;12049.79
1973;13662.67;11239.43;10975.01;13725.6;6672.67;4450.36;3784.12;3088.95;2533.68;3745.82;9424.97;13162.29
1974;13716.82;10813.58;12720.26;18223.25;10307.27;5441.74;4231.58;3722.67;3282.41;3265.1;5692.63;7521.34
1975;12656.45;12213.21;8454.26;7474.21;6388.42;3811.42;3827.21;2987.75;2474.97;2878.74;6857.94;8373.87
1976;6181.17;6033.53;6380.8;5469.9;3178.9;3074.65;2467.09;2292.13;2646.84;4519.87;6495.77;13694.39
