,pv
0,192082360.3906593
1,294486740.9927417
2,175719710.5694377
3,360888487.1394446
4,135530654.34039217
5,267849597.3596618
6,176629224.27827826
7,270513484.0007586
8,580217983.1331668
9,774982029.4655505
10,252144307.20353207
11,276862820.38118315
12,286661281.53413093
13,98135831.21741535
14,150139782.40098011
15,223109237.36188382
16,396859957.6879727
17,97896165.16493674
18,150349542.7500762
19,292435894.57533455
20,248685051.7979321
21,147870861.821629
22,323555118.7537036
23,328809390.4396564
24,279087832.3053629
25,320985933.8228914
26,399618978.9449861
27,138929925.5661171
28,203365480.47349715
29,233754560.35555384
30,222464576.00344425
31,210138936.03629568
32,195358454.9858268
33,164835152.45531487
34,309474151.13408166
35,163797381.99125233
36,168859509.35835737
37,141035256.15931574
38,245250759.32295758
39,224107785.1362954
40,158730284.963015
41,237506881.50569406
42,92530372.48763794
43,225256692.76556
44,177046704.94679675
45,161477222.0950585
46,260881450.3265676
47,225005853.75927114
48,375137216.43135166
49,158502127.1037159
50,341525406.6216056
51,313673425.83398485
52,199581863.59830457
53,180087353.78260028
54,193002308.65463388
55,84432761.82143407
56,314255386.5449622
57,268161156.2631375
58,357103689.96070313
59,180936407.85343403
60,210134833.35776615
61,514887741.8478214
62,103658040.41924997
63,209576765.65718606
64,409306105.1449549
65,130071566.43888374
66,142362703.2016601
67,277230837.1362106
68,162076775.74081805
69,154710875.37421587
70,153011611.23751578
71,232049038.2365311
72,202087876.59943104
73,83061548.48528959
74,184559185.98454577
75,186319356.1097181
76,278425004.022497
77,180077482.12211126
78,209704845.9354215
79,86443154.8029812
80,243510202.87697032
81,175205356.31400323
82,265810607.33742872
83,312261703.4790142
84,245043622.39443216
85,489891314.7308452
86,162095477.0758959
87,223219365.62891567
88,274213199.1260021
89,516127410.102158
90,154112414.34074384
91,136474554.23918018
92,235709255.25545907
93,140900069.56712902
94,138641689.12157658
95,365935240.7312624
96,218221801.46946287
97,176250605.17218277
98,112290744.62817176
99,321538709.1744754
100,207582351.8611813
101,205918464.90848655
102,319663009.6490657
103,140371480.92644617
104,334747310.19645095
105,152782956.2322225
106,199981617.68539068
107,133444780.21064694
108,154472574.90600613
109,165284879.45774347
110,180027198.45619676
111,200103873.32484734
112,269067854.0887824
113,161548504.7019193
114,379572032.0899564
115,203940082.04132292
116,376028199.631519
117,105855023.32521434
118,343765145.2742133
119,261386399.19829997
120,163416462.60444346
121,184424316.74133614
122,192212141.39752814
123,179822524.89210266
124,336962628.03528947
125,193415156.1934404
126,216739171.30730754
127,347101614.36949843
128,275707932.998548
129,389466422.95840114
130,269931807.2072742
131,164929441.53252426
132,241705217.3461047
133,307304265.0909426
134,396203252.0648457
135,145191463.30368212
136,197507468.39409533
137,243883533.74140283
138,141990837.82944182
139,138346580.5178137
140,102915024.70822185
141,129484633.49252534
142,233733085.13543633
143,190662489.4492097
144,189331519.13269794
145,294819525.6835427
146,156655777.0661093
147,125260788.23405147
148,192791970.03208908
149,432763789.70888245
150,127475710.01505949
151,171466489.6652788
152,184614700.84415698
153,113698591.98759402
154,150902110.44585016
155,147970297.65536198
156,239404403.31762627
157,176842208.72812265
158,131525475.17777978
159,324705680.54576355
160,203447960.11278895
161,149788523.66604355
162,157092853.56429142
163,250375724.78144813
164,358346034.331726
165,107624537.19757725
166,170421430.7359908
167,174517931.02683616
168,282894341.45749474
169,143948593.688757
170,235434450.38392395
171,375108570.8991753
172,127954904.09176396
173,172729166.0898828
174,181726628.33084312
175,333353502.7047396
176,166984658.18961972
177,143705707.5917157
178,220749478.78781444
179,686792082.3982043
180,153548948.88855752
181,610015731.9027555
182,185266008.31065017
183,145363338.0819359
184,139093860.42349634
185,450981374.8890704
186,282709168.0048129
187,195452574.5443656
188,321895571.65094805
189,289487407.8770023
190,187733421.6491429
191,194593759.30520415
192,178339147.7009189
193,193810196.7941213
194,278265676.2055447
195,204093839.8065909
196,186080047.01385224
197,184718904.9578622
198,295394984.8074607
199,256084703.84216878
200,133029259.54498526
