,pv
0,183829966.31922424
1,288332004.0380891
2,173990039.64210907
3,362692081.62275124
4,122418314.99790211
5,251434011.02853885
6,177255449.35372445
7,269317153.1835804
8,550578784.189414
9,777804075.6106421
10,242630388.39468685
11,256135886.25390217
12,283283167.2072609
13,102091536.80635048
14,150971158.99891067
15,226085349.87734342
16,400963113.07455736
17,98743173.50186521
18,147946139.84839875
19,282334436.2833506
20,231473471.7932978
21,152736608.72701293
22,314184238.7221645
23,320905799.7916991
24,280096840.9648565
25,315382622.1420518
26,408194927.1687716
27,141313350.81214252
28,199389048.91377318
29,226984065.30087805
30,204820570.23308757
31,205877343.64982736
32,201764636.08954933
33,174214675.87759236
34,310391976.19007134
35,156240683.14914656
36,172019339.58030143
37,138072432.86691907
38,235076288.57142338
39,221921088.69161707
40,150169604.22076467
41,227144686.92468008
42,97722691.06786793
43,217177250.90282926
44,172949392.82216913
45,161941486.9977523
46,225098641.2724001
47,219789722.89880303
48,348519807.37682617
49,144665466.33583906
50,320783545.70597774
51,294698979.7661221
52,189516468.34280765
53,176990320.02060091
54,209257171.53688306
55,86817637.15751071
56,312780769.8472701
57,259404863.2746658
58,315229999.0524644
59,184677120.10257733
60,207648553.91925076
61,479644152.917774
62,113120758.80937451
63,211512919.21510622
64,374461287.48079866
65,127313786.4315796
66,130932805.05475576
67,262929251.3541311
68,164505069.13946462
69,155624178.24290413
70,154630781.04818353
71,227294693.30885428
72,191468173.80022642
73,79296039.3669396
74,190593268.8053573
75,175703168.53932992
76,262582597.58738983
77,176733973.62092394
78,208411157.79524902
79,89482207.77598172
80,228483451.96289802
81,152810912.9658411
82,265503371.11838678
83,295426826.3355049
84,228030626.61618254
85,495157588.8486872
86,158608313.9572237
87,223180396.20902315
88,268708195.67718476
89,524306212.12259656
90,158487016.54077062
91,133197793.12340738
92,230897967.1526489
93,142362316.04972678
94,137115423.74902993
95,335560357.05632544
96,194836214.35011232
97,172095115.68256885
98,101093514.64388579
99,313971976.4074456
100,206863142.69928154
101,211751292.47612473
102,294748865.7543434
103,142767431.18293026
104,306908934.7976005
105,156654314.45518538
106,203082009.00572366
107,136817817.56195912
108,144495645.4155868
109,151816769.74884552
110,188369446.3224359
111,195165464.29887846
112,270804391.13507056
113,165129558.86442527
114,375219209.905351
115,195179317.8794109
116,355807372.8225093
117,98112396.55859868
118,319255283.20632875
119,238250109.97396994
120,161451681.58547986
121,190943650.93892026
122,197050901.8926159
123,179403153.56858078
124,333221054.48094153
125,181890794.3219489
126,203579439.91007474
127,337110172.7189176
128,267196184.66405436
129,370970575.75702715
130,265106832.55984095
131,164726310.91505274
132,213696804.43911517
133,306510725.2288842
134,377801699.1498506
135,140975377.17156333
136,186530579.7445134
137,211899290.22831088
138,140488776.6926331
139,142511921.16098246
140,90970272.97388023
141,132400668.26629046
142,228269391.03860712
143,177368823.79173285
144,184550795.45195952
145,292141800.0042338
146,156627191.96893805
147,113443582.44606315
148,197967732.63957825
149,411141713.379357
150,128596737.38686545
151,171824045.54947498
152,176276988.41988894
153,111743189.22788142
154,149943346.87717372
155,148973374.65770754
156,226459562.42881075
157,180489072.08852622
158,133742461.05062447
159,305888156.2593834
160,202050607.92832327
161,140606836.40862352
162,158315577.03897178
163,230994942.9437624
164,361015946.92144847
165,108435228.21400632
166,151760450.00402474
167,168011298.62265706
168,275125304.1375331
169,145132827.98731077
170,229740461.42502856
171,366386203.1856543
172,126435640.08253723
173,171631723.96934134
174,183830245.033798
175,323626903.91056037
176,160898502.3058483
177,147218925.3969871
178,207206598.20644924
179,642764645.6138718
180,155932639.44913724
181,620301634.4039232
182,183380298.16777393
183,144399880.12599602
184,138210975.00161707
185,420766588.1974331
186,271218524.24821913
187,192513302.5660514
188,319694824.4397207
189,281031153.6196677
190,185186680.91248906
191,180132104.1247425
192,174705166.99771377
193,181925125.9219656
194,268165968.1637384
195,199841125.11910504
196,187696485.7758681
197,188155343.0595777
198,300302640.84098405
199,249212327.63079122
200,130725430.7067477
201,156650848.89674836
202,193785689.77497932
203,224296832.46964887
204,295977796.20243514
205,160067212.94832855
206,298064206.4517327
207,188985113.21819815
208,180139593.23132765
209,740356661.124426
210,244280754.18240744
211,183736729.2945654
212,81336648.72943579
213,124980937.6677396
214,172536746.57110557
215,378379973.52099216
216,304109541.7633009
217,335250651.8576946
218,352723926.6249551
219,172533029.1324484
220,343713443.9387589
221,289928619.1467457
222,348880380.6618827
223,98827704.2711205
224,353464764.67785853
225,455686217.91188353
226,287461919.4693489
227,129305066.68035948
228,113084211.56583457
229,232789921.61633596
230,176123416.1694812
231,163203693.82252008
232,274115559.81128544
233,155886932.30232748
234,248785815.54993477
235,139366582.00037682
236,188835392.93772587
237,287092230.1873584
238,220028455.90615433
239,247175403.6535226
240,179714298.36850235
241,187591380.48894066
242,274163055.42426276
243,262404568.37579307
244,109378923.73114009
245,482468655.46368563
246,145155034.70726374
247,232933524.0894984
248,269217069.01732075
249,317781883.10688263
250,115633076.12230486
251,172870061.2880108
252,140663762.8355345
253,131240467.36367631
254,168119308.19645742
255,187454868.22456154
256,224698064.76026672
257,93343184.5131904
258,134714338.03887463
259,153915664.07542804
260,180124180.2506651
261,232971582.49553332
262,268860483.57596636
263,105689257.11056976
264,185033752.17671716
265,223941375.75192696
266,160907842.56733254
267,326853473.24919134
268,111483540.23664266
269,440320159.0437828
270,135341447.6508421
271,196738178.63697648
272,174158910.2179475
273,645047647.0774606
274,186070211.98061606
275,308265011.81025416
