,pv
0,189961820.17185017
1,310689474.37537265
2,172532016.79310986
3,365338011.8931235
4,130058279.6033617
5,269488213.95705956
6,174308176.80227393
7,274450881.58825165
8,650836011.4089428
9,829015937.1626956
10,256197621.78505367
11,271647273.82530075
12,279513878.7987797
13,97302696.53040364
14,148158643.93027437
15,233759614.0792364
16,394069002.74287516
17,96043102.50088081
18,146602024.53257084
19,299434957.20590055
20,243339299.3383713
21,152498683.81318668
22,345263141.0848292
23,333564498.4932074
24,272243291.4938466
25,322065957.872604
26,408435247.83671814
27,136811440.77076215
28,210106912.36255977
29,230990062.7951555
30,219163185.9462841
31,226241856.58704755
32,193871148.19374797
33,164846663.2358203
34,302640659.43239266
35,157238441.40130424
36,170727897.6247293
37,134705501.8643867
38,243440641.32707632
39,218583393.47453278
40,170408760.92241168
41,247320042.22823605
42,91409091.3777579
43,215915433.23160475
44,171476046.53952396
45,159039254.67381996
46,233974782.44257912
47,229192598.90710184
48,364103052.82492083
49,146124960.59038287
50,340741518.6481502
51,337258070.40484583
52,188005234.98535475
53,186264850.14295906
54,204088972.25773147
55,87716325.00720225
56,323267242.0191184
57,279314849.7416898
58,321959741.35098743
59,181061508.500936
60,207373036.6562454
61,519605096.31306607
62,109030195.4680508
63,209462643.29316035
64,366755731.0267611
65,127793800.54356
66,134828251.66048652
67,281526152.7036211
68,166541001.53458786
69,148731548.41028583
70,153012105.80797106
71,231886959.20296592
72,183662529.4747936
73,80135010.491029
74,204062328.8621995
75,182768898.4781767
76,274405996.2749808
77,179725975.1118052
78,205150164.84805736
79,85287544.36209212
80,235575200.14893392
81,152063829.28342026
82,262699047.72293973
83,299487980.9745792
84,239644208.34926397
85,514702334.95427674
86,152919853.44648808
87,233128365.92638242
88,285770870.2873743
89,560367337.647129
90,167067817.44229928
91,143536524.83692873
92,239569254.89207524
93,141873553.05533725
94,136192993.33382994
95,372085948.48281467
96,202289069.4144135
97,177788046.33774126
98,105218976.68593825
99,332471984.2291889
100,207185506.7088742
101,221566712.63595492
102,322483052.63391906
103,140134448.21856382
104,327835541.82986844
105,152552696.8841539
106,211728111.5168933
107,129743174.2012576
108,139298567.48840332
109,156265477.0981692
110,192780620.72474542
111,187933051.09420484
112,281875905.7200544
113,162035093.08050832
114,384449197.7602881
115,206799503.94637585
116,367133461.29433465
117,114636839.46018317
118,353945555.6540249
119,252720200.26177377
120,163343788.23883063
121,191383107.81068712
122,210617585.9721445
123,179123875.91525987
124,326864102.9155477
125,187703393.0562302
126,213552922.69041827
127,366446136.86709315
128,273229574.8994889
129,397455990.7184834
130,277997201.619804
131,164796248.03403622
132,214959617.99055833
133,327713224.31782335
134,387960663.9318335
135,140105485.27207053
136,198610577.04737437
137,240284551.17362845
138,138126380.9452672
139,139400285.94789776
140,90589164.8891
141,137018617.76432407
142,230663435.45525566
143,186996810.25928453
144,192323265.86681652
145,299874683.28044826
146,156960786.02994218
147,111148356.4147921
148,191726035.28982133
149,442708233.71608436
150,122620984.51987147
151,169194645.8503745
152,170846512.99920613
153,112077322.28670576
154,165920073.26312807
155,149692028.9253205
156,239267084.84984517
157,176538501.39787516
158,128554622.08968829
159,323362234.1668606
160,203723770.6834847
161,145569618.3544998
162,150352051.04809272
163,267064952.51151106
164,361706503.17939854
165,106942458.29647775
166,166434608.08170968
167,170061352.32541913
168,298218710.2282815
169,144420127.55459705
170,229437954.7965505
171,403161545.12490106
172,121033575.94777183
173,177290012.08316872
174,182726945.39610448
175,336269661.66374224
176,163167028.79121307
177,141921943.49708095
