,pv
0,183739718.77116567
1,236951906.5346017
2,201934774.4813076
3,191990134.92753193
4,125421051.12569967
5,433434357.5557181
6,115769496.38513674
7,275442467.5801887
8,196733460.21102217
9,189678538.1277057
10,185114707.35524255
11,218205679.6918848
12,402529691.08566463
13,287213901.1453154
14,164166039.7477978
15,172873878.28593802
16,178535586.94339582
17,227765201.2817923
18,157241771.63822645
19,130799245.1297133
20,170070490.30536613
21,122582305.38104205
22,208213588.7313736
23,279492738.97091544
24,191390822.9393923
25,886326329.8238026
26,190603677.32789606
27,154319551.40724218
28,185326092.70194122
29,307096936.6977016
30,228910972.89142215
31,123678960.04233629
32,292265981.23638046
33,132676375.00216648
34,212107929.72204974
35,257515884.24733087
36,205594376.23923773
37,266502873.55156714
38,143090395.97452164
39,210958254.56892
40,260271830.22827372
41,230585960.4409976
42,120060453.058177
43,236993630.2707875
44,193355580.48548087
45,315868815.80645233
46,182393894.99608493
47,263297305.7043739
48,167215627.2303299
49,228979933.60058188
50,170086184.4119605
51,147129272.19801325
52,102754850.94405137
53,182734595.93797857
54,473145469.85431135
55,127908044.0994847
56,218593614.06363297
57,127626896.39998803
58,288639487.5677183
59,297382083.74696237
60,200300625.82106265
61,202925519.8572353
62,331008249.71324354
63,291992675.0331749
64,178123739.4281651
65,298589993.6885183
66,331346193.53970104
67,125170471.11555734
68,229632202.65817538
69,367811283.68799436
70,424799292.8753939
71,196814955.89778587
72,476694732.19936067
73,96139201.64584418
74,300293327.5362793
75,212703289.99186775
76,212656821.55586877
77,684250124.6522875
78,182016936.26777348
79,221085537.448274
80,173822267.62191212
81,190920970.95179847
82,127490112.47319946
83,176300812.1168754
84,186788916.3295011
85,124657789.06414165
86,446550582.2619945
87,171557444.841223
88,147425441.9098857
89,194804189.56253475
90,192395840.94079748
91,187538718.2384425
92,134413402.40192372
93,137496904.2437305
94,253163113.78810287
95,155114068.3659023
96,174823648.10313538
97,116653969.27423519
98,180543431.24869353
99,182252329.74676433
100,131043706.98074417
101,195211679.03558233
102,184740063.50921547
103,184263256.03337502
104,175677547.83179268
105,159299745.85459164
106,247784994.10148922
107,811120609.416585
108,259357766.07816634
109,247951535.9372679
110,216231401.52469265
111,169918874.79291195
112,171395410.5773572
113,98451452.12603106
114,121333069.11591642
115,273054217.9912223
116,109045634.23390596
117,173292284.05772159
118,156472399.85329318
119,168113089.81273985
120,151088278.6073485
121,249408814.26530465
122,132684313.38310231
123,330576028.7667024
124,273347332.8031519
125,232282375.04130703
126,138282937.366657
127,249343709.5753523
128,248176926.3301858
129,242585046.04339996
130,242889287.5548425
131,171900907.54295492
132,192129854.97960317
133,624486672.5153047
134,150010489.12743288
135,201329386.09346035
136,264668475.90952453
137,206254030.6960294
138,104448030.44074325
139,211759710.2255013
140,187408390.68838644
141,183198866.95281717
142,421268848.210131
143,235590247.0832296
144,185499150.59872818
145,346336469.22742057
146,260957927.2303636
147,240347844.6081331
148,164422206.16593263
149,217982404.04674914
150,272012396.5749353
151,141572597.38006306
152,112161025.13329783
153,263589669.07621303
154,214975678.89991856
155,183272884.83845016
156,163803376.65100566
157,184297509.629102
158,144051168.69563848
159,403305319.4527698
160,207292632.74936104
161,163162687.35910097
162,458674273.70475334
163,167097281.88821825
164,261651327.34756598
165,215496367.74505776
166,292540110.3550651
167,179329453.42747533
168,246101137.3293296
169,193361283.1889935
170,222473483.06323704
171,284523734.41091174
172,357342202.4553302
173,283239217.66663253
174,308476892.2277895
175,191068546.5608601
176,165730950.83501598
177,164926902.13012904
178,147246055.76996756
179,118294923.84623924
180,121522930.11375156
181,302531473.4199511
182,433373627.78186655
183,435089285.6303359
184,200977909.58244497
185,373753859.42138
186,138198791.50937286
187,177448423.20910686
188,131342542.24655698
189,131442414.77319516
190,309473168.9811629
191,139657536.9713947
192,176358586.1703216
193,162984111.71592304
194,89902317.15459926
195,208523869.4332557
196,298427172.7854592
197,219749396.62092155
198,242774130.954374
199,322895811.9894062
200,204171879.97756672
201,174475427.44429657
202,285180055.16959596
203,135750691.41304877
204,158091044.92763138
205,223329658.00393334
206,410496396.5641937
207,156953362.71542946
208,315205822.6765016
209,160447548.75883076
210,155160345.69506323
211,127717991.96766175
212,167021864.26697555
213,230607612.67711088
214,119510799.47837552
215,79372120.09878406
216,524983213.58099014
217,208289043.683174
218,190298504.57997048
219,205361437.24689978
220,302013256.2007127
221,147175943.6542298
222,116354630.07707669
223,259785027.73851058
224,149182613.60076815
225,148889030.89875293
226,228795817.0863493
227,280910560.1101748
228,113945009.55840607
229,82793568.48540485
230,107648162.78840105
231,241843147.11083856
232,301102767.3797662
233,394979833.1124883
234,201066330.64489672
235,308407390.71970344
236,141828552.59339583
237,152663929.78924486
238,152987897.49544957
239,181747757.92490143
240,189712853.48669443
241,271596036.34197974
242,157110974.98938853
243,279645008.0832856
244,204507991.22359294
245,168918006.13217124
246,533442904.1327826
247,107277870.98640391
248,174837035.76829302
249,500385703.4069009
250,205298649.17265493
251,212221616.18805972
252,150209980.51483244
253,138014609.4795849
254,131250591.83655868
255,276259243.4758158
256,112767760.34259963
257,97293709.7566538
258,277681127.5209479
259,589340988.2234855
260,139681840.38038123
261,163767917.50185022
262,407895458.2478406
263,211993596.97628328
264,345791560.6089402
265,198140176.19154805
266,173393318.622963
267,179251817.2461832
