,alpha,beta,epsilon
AAPL,0.002153855303278509,1.0520309979048232,0.02978664882464774
ABBV,0.0022758329926881944,1.268537140070811,0.03228728237147812
ABT,0.0022935464742825065,1.0896306630305848,0.021229438482892188
ACN,0.0010466508868960682,1.0898378895231284,0.018582626508495084
AGN,-0.005850713717611653,0.9738911851885482,0.03807494920706449
AIG,-0.0033468308726232452,0.9768018699641297,0.02420906194307577
ALL,0.001300568166742353,0.7364316202347598,0.01881538595846617
AMGN,0.00035159904384428185,1.2553203130872772,0.022508242732832535
AMZN,0.004278855023309048,1.3936367966380305,0.028032849778239416
AXP,0.001321923715808327,1.1399950448077678,0.023094129872457497
BA,0.0050476588000944655,1.0605985665099527,0.027061077647963633
BAC,0.0017087885272973886,1.4842449241679894,0.029189541503128347
BIIB,-0.0008484715343113232,1.3627330590244988,0.03875426318503346
BK,0.00033467614553035546,1.1386462546530516,0.023133769486024806
BKNG,0.00107204683669192,1.2803723199422945,0.02929890241088491
BLK,0.00019934050170933377,1.2305660376445897,0.01877611350082798
BMY,-0.0018497538897931881,0.882461834534777,0.0319997649822
C,-0.0006687805842779327,1.4797375193598872,0.024705698462598458
CAT,0.003323930275844628,1.4950786094828616,0.028589836373583248
CELG,-0.00450574297928307,1.24545419350882,0.035711965270319286
CHTR,0.0019320644648229985,1.1343389174714873,0.03383035826340924
CL,-0.0009175425401237406,0.5885173345725198,0.021361156960922518
CMCSA,0.0005213648392241962,0.9780331973676336,0.023548798973925127
COF,-0.00023863801100867235,1.423638654662867,0.02405899550326983
COP,0.0018731339322727609,1.0319510248396997,0.038858943738904805
COST,0.001030043622141921,0.907147894748873,0.02258107747633163
CSCO,0.002485600678633569,1.1291737940622044,0.020413441336318717
CVS,-0.003101422994734836,1.069527336457592,0.0321659969512085
CVX,0.0013901422632376429,0.8386732320502297,0.021131679168724233
DHR,0.004189130661202933,1.0523670689036846,0.04406806480655192
DIS,-0.000555931217077392,0.9213757970511669,0.01903807534973777
DUK,0.0014693812937411174,0.1758040721340138,0.019761162278381317
DWDP,0.00017875591249388902,1.0128700394889927,0.02503599412700567
EMR,0.0009207255266594631,1.2120628516695606,0.021347732995022087
EXC,0.0031014940606401953,0.31203301197920913,0.02260674130405817
F,-0.0032202040136444523,0.8932567997073891,0.026869620846031502
FB,0.0006814224556971693,1.2110471832531684,0.030693603716270026
FDX,-0.00045611506469054117,1.4420943633010683,0.02461457456651441
FOX,0.003102928518245221,0.7780595786062645,0.029992416247915384
FOXA,0.003204598607936279,0.750127314298944,0.030509169937464144
GD,-3.502015254784091e-05,1.1115493814307176,0.021099021984856404
GE,-0.008190196866373846,0.8060960673947062,0.037251485204770673
GILD,-0.003382881044399883,1.002267798876842,0.031768264541696525
GM,0.00039349295779545255,1.040555577893157,0.02941565858460373
GOOG,0.0006621422290353212,1.2481168011834094,0.01949105419860305
GOOGL,0.0005965227207730609,1.2335046948147328,0.020129537449085657
GS,-0.0012475538125126674,1.4304186323359747,0.026883538891669796
HD,0.0009070612588700129,1.099202435483328,0.018841991166217906
HON,0.0010220361560756037,0.9770778879512378,0.014290373191159502
IBM,-0.0015288608205038157,1.0414301758301,0.023159994939966906
INTC,0.0016648783122539135,1.0946524384876217,0.02647585702997664
JNJ,0.0009485686519076795,0.7436150805871892,0.01766212143567168
JPM,0.002112420891944553,1.201138673322885,0.02061501298747903
KHC,-0.0037281229096101645,0.8059788225337968,0.02575892908244912
KMI,-0.0001317947819657506,1.049131284694498,0.03360220698882679
KO,0.0002967675770257691,0.5941357056527247,0.014871712738679791
LLY,0.00153466491598419,0.8475482226476732,0.02476853865619818
LMT,0.0006796911633136954,0.8044142335134308,0.022929692508019343
LOW,0.0005619128949705444,1.1210951444276744,0.026857807117170715
MA,0.003297989568421495,1.0876809755664387,0.01812239676832834
MCD,0.0021001812104692644,0.696685321057638,0.02111416396533026
MDLZ,-0.0010571028029299507,0.8436455357717084,0.023481186073252353
MDT,0.00021195857373781403,0.8216605540244115,0.018916665811138825
MET,-0.00040397634412872466,1.4485431544051826,0.028164307630249467
MMM,0.0007537762135610377,1.153334725615955,0.018360464855111152
MO,-0.0013330194707999246,0.6844108297609941,0.024151335445405625
MRK,0.0018131541953396656,0.8146835778605191,0.019915533643803312
MS,0.0007648247612679013,1.5671779997475426,0.027901450985668774
MSFT,0.0029724829622333605,1.1186659956360183,0.016525883969706553
NEE,0.0030153066548601532,0.2929329603910043,0.019240087052566017
NFLX,0.00462754062811214,1.5762427818752298,0.051548953403941326
NKE,0.000639970329761686,0.767415617710239,0.027109982638328797
NVDA,0.008504460781569185,2.142823669577711,0.05293307180927223
ORCL,0.0004099453158336297,1.0856756715570175,0.021404757283313407
OXY,-0.0003794807649469108,0.7576344091170758,0.02550813489286912
PEP,0.00029484399038247924,0.5573686827716905,0.01806139377363036
PFE,0.0014439467173187825,0.8914503920288438,0.0189289099364774
PG,0.0008379752228448236,0.5340475161527133,0.019758552421619367
PM,-0.0017091087635838936,0.7555866387610392,0.0286064968943075
PYPL,0.004665656143490798,1.248430525852497,0.029109377149395984
QCOM,0.0012189868076831604,0.9171581421037946,0.03476680753756726
RTN,0.0006161403730658401,0.8375911612394251,0.022362833485429227
SBUX,-2.7230984912382102e-05,0.8129838598484626,0.024351509209400705
SLB,-0.004314847550282397,0.978298754598247,0.02892858434334089
SO,-3.007509258929173e-05,0.21553089771276707,0.020579984615216897
SPG,-0.0008005915856187516,0.4998680359882644,0.024377805945789123
T,-0.001121123675413571,0.7793028900397327,0.02235668087375702
TGT,-0.0008976057652000951,1.0285509619138418,0.03552036244437567
TXN,0.0028447755830548318,1.1719211827020994,0.019473965100586604
UNH,0.003836375993666817,1.0656941479629607,0.02048014466008414
UNP,0.003041813439467406,0.9996869795836633,0.024279185274737485
UPS,-0.0005938053724960961,1.0974143402121526,0.021682434526929185
USB,-0.0001446922996368314,1.0455273620346555,0.017590405114006013
UTX,0.00014479050374974106,0.9564472926433961,0.019372886818474447
V,0.0024059438330043758,1.0020856934083524,0.013883447190896436
VZ,0.001256360305995393,0.613782482928894,0.02361711395157971
WBA,-0.0020407898117184454,0.9472203472912445,0.026210951411381165
WFC,-0.0013941651819104246,1.19284712930805,0.025500381029009526
WMT,0.002078179489159971,0.581180100491609,0.025380533782260607
XOM,-0.0009941917940839008,0.7729943127256705,0.01930321137049222
