YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
1931;7409.65;3310.83;3531.16;2353.66;17558.02;16500.03;13120.24;5954.69;15399.44;7850.88;4509.3;5473.68
1932;5285.8;8062.89;8957.82;22946.34;17069.88;14116.42;10030.45;7197.01;13537.18;13597.18;5956.02;8030.47
1933;3001.83;3654.84;3178.5;1915.96;2373.08;2586.88;2757.54;4112.05;5915.66;11670.8;4897.74;2065.5
1934;4138.99;9033.31;5661.19;7733.04;6640.39;5006.4;3944.6;5362.07;5875.27;6746.6;2838.94;5781.15
1935;3066.59;2362.85;3920.46;2226.69;1450.68;4870.91;9554.59;13882.01;17292.78;36584.84;9486.05;10314.59
1936;10383.66;3898.48;3192.74;2185.88;5979.91;24757.16;9475.58;15078.02;12754.63;13320.9;7342.55;4600.83
1937;5287.43;4513.4;7943.57;6631.63;3956.49;3074.31;4707.66;6795.61;8251.08;12200.64;12558.93;5444.76
1938;8187.34;13477.36;4450.77;6487.54;14053.4;18436.3;20298.31;6066.34;5421.77;4982.65;4839.55;3112.05
1939;3943.3;4740.13;9119.71;5866;11313.75;8302.23;7357.27;4336.22;10006.75;5970.78;14596.27;20724.22
1940;10381.68;7285.45;4152.1;8074.36;8310.5;5509.57;6166.76;8112.59;4748.17;7470.02;4287.32;6445.54
1941;6545.04;12151.87;7162.92;7868.09;17098.26;12544.69;8463.41;16886.68;9616.28;9492.8;12082.84;9276.67
1942;4552.72;10352.82;8022.63;10546.97;11110.55;8996.38;8458;7940.07;6338.66;7621.29;3002.53;2267.17
1943;2079.84;3486.56;2625.92;1688.78;3212.31;11259.67;7872.45;12915.68;10938.71;8322.11;5091.7;2927.15
1944;6164.98;3406.67;6848.3;3087.12;1592.55;2864.72;2652.39;1401.03;2541.8;2490.22;4482.89;3227.27
1945;1251.1;2971.79;3557.74;1741.49;1334.46;2111.65;6656.49;4058.39;4048.12;4395.21;2894.87;3228.81
1946;8897.66;20768.1;14045.21;5864.41;5709.2;9705.3;16857.63;6663.63;5684.05;10447.3;6503.62;8524.09
