,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
0,1931,56573.94,86210.38,88194.99,63853.06,42451.72,31784.58,25482.25,20428.78,22579.59,23674.58,25773.76,38375.48
1,1932,56324.81,61326.06,50666.21,35134.55,26391.49,24976.24,19715.07,16681.17,14900.06,22241.44,24857.83,48820.25
2,1933,65418.28,50622.35,39626.66,34132.44,24049.68,18866.76,16643.39,14091.54,13622.3,17223.78,18382.37,36035.29
3,1934,46225.09,36548.38,34912.1,26438.7,18650.63,14006.06,11770.81,9853.44,11856.25,12895.0,13675.65,33566.12
4,1935,54454.44,71956.66,61237.49,53970.29,34126.85,25895.28,19805.02,19722.22,18185.73,34719.86,26170.8,32124.56
5,1936,36904.06,29432.11,53014.61,36368.0,24157.0,17560.63,14598.96,13791.27,16933.27,14100.3,18474.87,34290.25
6,1937,63167.23,43954.14,39017.37,34697.79,27048.98,22867.57,16242.66,13783.62,11970.17,21494.52,35288.86,53507.52
7,1938,53094.33,44583.71,39865.91,30264.9,25159.6,20503.86,18432.14,16084.08,14380.42,18543.84,22375.13,40660.84
8,1939,57789.86,57341.71,33536.13,28425.56,24575.7,20012.75,16450.07,13288.76,12216.26,13892.23,24938.91,37136.7
9,1940,53804.88,74363.92,67971.8,37107.11,28752.32,20888.76,16492.85,13648.88,12173.68,14404.61,29658.3,34050.49
10,1941,48056.19,37835.65,34910.28,33051.69,18494.48,16378.06,15618.43,15045.12,17381.78,21367.72,27082.59,40374.8
11,1942,44690.25,51420.18,62238.26,44191.9,29344.8,28975.81,22864.41,16216.37,16541.61,18345.68,25620.65,41347.25
12,1943,81234.78,73190.33,69368.7,41165.66,26328.91,23568.21,18456.52,15250.49,14539.77,22968.09,31633.18,38987.63
13,1944,34701.72,47554.82,50957.77,31870.75,22140.31,17057.81,14339.74,11917.99,10430.58,11696.87,21839.1,27565.26
14,1945,41461.97,70915.18,61976.59,60780.35,34226.04,25929.63,24760.44,16323.81,14105.54,17377.07,29797.11,58739.84
15,1946,79966.46,62357.36,69184.42,44581.94,30293.49,25845.86,26714.89,18007.05,14859.77,19480.33,22280.51,28543.46
16,1947,50635.57,60357.3,92605.69,57034.25,33922.09,25886.33,22509.15,19768.38,23919.31,25055.37,24405.19,44548.43
17,1948,52866.43,56993.24,59510.84,39980.55,24422.67,21827.03,17014.31,16825.6,13564.65,15652.34,22964.39,47913.41
18,1949,49926.61,71602.5,52432.81,35974.76,26704.91,21320.78,16950.97,14030.26,12205.28,14889.75,21052.48,33998.01
19,1950,41814.25,64219.17,56159.23,39179.63,26953.55,20388.94,17426.08,13506.7,11677.47,17835.9,30371.75,43107.17
20,1951,55216.3,66216.56,64931.95,45612.36,27814.48,22814.86,18862.67,15830.73,13359.82,15494.64,16314.85,25670.23
21,1952,33958.12,49602.68,77421.76,41341.03,25030.44,22633.46,17238.67,13970.7,14011.84,16394.43,24386.5,28659.31
22,1953,24844.52,25703.3,32280.18,34532.54,20853.12,17139.84,13500.29,11505.73,12751.66,18451.4,22435.45,33762.28
23,1954,29240.86,43862.96,29662.73,24147.83,30349.19,22986.91,15362.09,11549.96,10000.53,11390.13,15506.29,23731.84
24,1955,35950.89,27038.1,28525.59,28785.6,16643.07,17966.72,15093.59,11349.7,11210.89,11932.64,18816.86,35845.75
25,1956,37913.37,25120.52,37439.62,25919.22,29339.83,32052.8,20938.2,23635.4,16527.87,14941.5,22585.27,43854.46
26,1957,57505.1,61901.83,62843.44,56427.24,33638.31,25100.73,27993.35,24923.54,31580.89,22412.24,28025.51,41841.98
27,1958,39388.12,57279.31,47231.29,39634.55,31821.83,28629.44,22330.65,16836.99,20481.16,21453.05,24374.93,30438.49
28,1959,62180.58,49460.97,52183.25,38271.03,24569.39,20108.58,16098.83,15287.74,12583.14,14928.76,23008.14,27067.14
29,1960,48885.52,58601.98,63117.82,40021.73,29781.75,23747.57,19939.31,17575.11,13888.13,16451.34,26709.78,41917.2
30,1961,73009.49,76500.49,77275.0,48840.14,39135.52,27169.01,21013.55,17172.22,15293.49,14686.28,22538.88,26394.59
31,1962,45433.92,59875.44,59332.95,35369.39,26107.35,22467.39,17518.55,15310.25,16253.44,24999.49,26071.59,52484.29
32,1963,65938.34,58477.39,40478.93,27796.37,20281.1,17419.2,14848.36,12963.56,11501.67,13319.71,21026.2,16661.18
33,1964,37562.48,60842.51,36866.12,27218.43,21390.45,16690.7,15527.31,13317.09,10892.92,17605.0,24907.28,38477.34
34,1965,62203.59,77296.77,83255.71,51496.86,44697.52,30345.37,27597.8,21398.48,17034.63,30370.19,34458.62,53455.74
35,1966,72582.31,78718.29,72038.69,46379.22,34283.87,25614.08,21186.63,17475.33,17390.27,23164.27,35046.79,42059.53
36,1967,66185.51,70955.23,60601.48,41722.49,28280.84,26320.68,21093.94,16805.14,15876.52,15411.88,26830.65,41333.11
37,1968,52706.7,48077.74,51959.2,30617.65,22628.57,18366.65,15490.3,15075.48,13919.13,17150.79,21101.87,38573.72
38,1969,31618.79,36999.03,32797.49,22869.01,17252.48,18144.57,13814.89,11239.91,9449.22,18957.89,38200.74,38923.39
39,1970,55532.54,57022.9,58149.51,33436.96,24213.34,20230.04,19440.35,14179.57,19260.63,21711.28,24426.06,24911.92
40,1971,30658.75,20582.25,24954.38,21165.58,18197.4,19387.14,17705.69,13135.83,12596.91,18773.21,25170.99,45297.54
41,1972,40574.01,57945.89,51994.37,36730.04,23482.42,19480.88,21767.74,19231.57,18619.25,41883.31,43176.23,48301.1
42,1973,53889.35,54215.78,47613.87,48614.81,30875.37,25296.49,23095.21,18256.47,18832.3,25985.4,35253.66,43882.28
43,1974,62675.96,45224.49,62512.22,55568.79,33926.12,29261.46,23702.03,18618.59,16922.29,20091.28,21659.05,35948.36
44,1975,51028.89,47761.85,35958.22,34487.54,23091.68,18406.68,18120.15,14633.07,12190.09,22730.38,31284.48,44109.42
45,1976,40437.86,47481.88,47986.67,37673.16,28902.23,32811.79,25942.06,25765.33,29584.86,30814.18,40570.4,59469.43
46,1977,73016.7,71110.29,39297.78,44403.45,29172.13,25767.86,20001.3,15713.21,18894.01,18879.59,28145.78,50425.04
47,1978,69498.55,47147.15,54004.35,35343.53,28207.22,26884.5,23958.8,18600.47,19613.26,18615.87,30390.79,46784.5
48,1979,66412.0,89048.46,56334.88,39700.21,34115.34,26108.22,22476.88,21615.76,27615.3,25414.73,33055.5,43068.59
49,1980,76163.28,92255.15,61857.95,52138.52,34927.45,28066.44,26567.19,21026.68,22635.19,21752.98,27118.78,53604.23
50,1981,71654.98,47395.84,42871.99,39463.44,27306.12,25169.21,19350.13,17264.83,14236.1,26168.47,47521.57,63215.36
51,1982,83988.56,71382.6,84461.75,61865.37,39253.72,39230.96,38235.56,26775.36,22329.12,32732.29,38248.07,60354.71
53,1984,64144.24,47252.59,39327.89,42443.37,34834.99,23940.69,20046.31,20500.64,22739.7,21094.85,22650.56,44066.54
54,1985,72570.14,70279.96,70974.55,51991.29,36816.61,27782.03,23299.57,19523.72,18762.63,18014.61,23839.73,31810.7
55,1986,53618.29,49727.85,46959.97,32658.62,30922.68,22577.77,19100.07,22318.8,17328.01,15879.18,17193.42,41178.78
56,1987,52665.61,58661.41,46963.22,40831.53,39598.6,34163.74,23998.62,18297.74,18722.55,20901.66,29039.9,48428.12
57,1988,46694.13,57140.95,62635.56,43801.44,35573.99,31968.55,21339.36,17749.05,15417.45,20401.16,25809.44,32653.44
58,1989,57667.09,61061.72,54174.94,35977.77,27816.13,23503.2,21267.44,25542.4,26393.56,20466.18,27369.51,62872.19
59,1990,79978.48,41659.6,43171.85,34817.66,29757.55,23127.23,24501.09,22129.6,25979.88,26702.96,24471.7,25203.62
60,1991,47590.03,65391.26,68022.89,67999.39,39646.82,29433.18,24699.35,19679.33,17093.89,26455.92,22828.14,35195.09
61,1992,59884.17,86024.84,55607.52,50407.34,50286.19,34448.64,26162.39,22376.84,27953.82,33898.84,45937.71,53842.18
62,1993,47622.05,68174.17,55767.14,46383.94,32064.11,31184.31,23081.12,20718.32,23238.61,29620.35,21184.43,35179.94
63,1994,64374.85,51195.19,60596.42,42932.41,31880.56,28609.87,24334.14,18919.19,15150.24,16037.54,23786.68,36032.47
64,1995,52246.4,83387.34,52102.35,47124.4,34630.58,24913.57,23743.02,16852.33,15525.39,25707.52,25025.17,33730.04
65,1996,54817.66,40867.65,53894.53,36333.48,26334.09,20830.78,18127.28,15943.52,20935.15,21965.16,36156.46,45671.8
66,1997,92003.04,73099.0,57564.05,45078.86,32575.54,39393.9,28152.63,21276.11,20313.95,24976.2,33415.57,50547.02
67,1998,42925.98,53614.24,55443.64,45349.73,34835.98,26604.37,20839.91,22642.03,23337.98,33608.42,28708.1,39447.54
68,1999,58343.9,50273.75,59032.36,33889.46,25853.27,24077.31,22238.52,15700.48,16664.75,13783.74,19995.39,30884.35
69,2000,55102.69,67369.82,61926.0,37937.57,24841.58,21301.44,19684.14,18869.38,30004.35,18694.51,29122.93,44917.37
70,2001,40456.42,40198.22,38098.01,28757.28,22797.52,20427.9,17306.51,14747.08,15601.71,22026.37,25960.09,40229.54
71,2002,63371.33,70579.32,48909.52,31314.37,28674.86,20879.33,18180.7,16441.14,17435.81,13229.2,22624.16,34848.46
72,2003,59745.65,61387.1,48402.77,42612.86,26865.68,22716.81,19399.2,15501.75,14955.84,15696.7,21411.59,33571.03
73,2004,46973.24,71150.31,62436.95,48107.1,37565.37,33476.45,27636.0,19253.22,15157.57,21755.41,26112.92,40232.83
74,2005,66658.23,58682.24,56820.52,37614.3,31094.38,27931.65,21233.44,16950.84,19628.41,23242.04,28793.41,56470.84
75,2006,46540.45,48797.34,58954.0,50244.17,29190.64,23242.67,20429.52,17361.53,18493.9,25996.25,28863.72,56570.23
76,2007,95009.5,91104.17,51617.29,35466.32,29166.06,24127.08,23443.71,18984.46,13293.52,13459.36,23664.84,29851.41
77,2008,37934.51,63401.81,63888.53,52278.52,36256.53,28117.9,21231.41,22808.58,16319.78,20933.5,26045.88,38144.98
78,2009,54640.12,66031.19,47567.82,48894.95,31385.03,25564.58,28053.34,24427.28,31847.09,36929.6,37542.94,62132.84
79,2010,70961.75,59573.85,53973.32,45739.72,29417.92,23410.16,20579.79,15971.28,13838.44,21929.61,29024.64,44334.92
